2025-03-25 22:17:55 INFO  main [mitsuba.cpp:274] Mitsuba version 0.6.0 (Linux, 64 bit), Copyright (c) 2017 Wenzel Jakob
2025-03-25 22:17:56 INFO  main [mitsuba.cpp:377] Parsing scene description from "../scenes/living-room/living-room.xml" ..
2025-03-25 22:17:56 INFO  main [scenehandler.cpp:675] In file "/home/julia/PBRT/PMM_focal_guiding/mitsuba/../scenes/living-room/living-room.xml" (near line 17): Parsing included file "pmm_focal_guiding.xml" ..
2025-03-25 22:17:56 INFO  main [PluginManager] Loading plugin "plugins/pmm_focal_guiding.so" ..
2025-03-25 22:17:56 INFO  main [octree.h:482] root weight: 8.000e-20 (0.000000)
2025-03-25 22:17:56 INFO  main [octree.h:483] splitting threshold: 8.000e-23 (0.000000)
2025-03-25 22:17:56 INFO  main [octree.h:498] node count: 1 -> 585 -> 585

2025-03-25 22:17:56 INFO  main [octree.h:482] root weight: 8.000e-20 (0.000000)
2025-03-25 22:17:56 INFO  main [octree.h:483] splitting threshold: 8.000e-23 (0.000000)
2025-03-25 22:17:56 INFO  main [octree.h:498] node count: 1 -> 585 -> 585

2025-03-25 22:17:56 INFO  main [PMMFocalGuidingIntegrator] Saving to: 
2025-03-25 22:17:56 INFO  main [PMMFocalGuidingIntegrator] GMM params: alpha = 0.250000, split_th = 4.000000, merge_th = 0.500000, min_num_comp = 3, max_num_comp = 10, init = 324518960
2025-03-25 22:17:56 INFO  main [PMMFocalGuidingIntegrator] iterationCount: 8
2025-03-25 22:17:56 INFO  main [PMMFocalGuidingIntegrator] PMMFocalGuidingIntegrator
  maxDepth = 40,
  rrDepth = 14,
  strictNormals = 1
  gmm = GMM[
]
]
2025-03-25 22:17:56 WARN  main [scenehandler.cpp:795] In file "/home/julia/PBRT/PMM_focal_guiding/mitsuba/../scenes/living-room/../_integrators/pmm_focal_guiding.xml" (near line 49): Unqueried attribute "budget" in element "integrator"
2025-03-25 22:17:56 WARN  main [scenehandler.cpp:795] In file "/home/julia/PBRT/PMM_focal_guiding/mitsuba/../scenes/living-room/../_integrators/pmm_focal_guiding.xml" (near line 49): Unqueried attribute "dumpPrimaryRays" in element "integrator"
2025-03-25 22:17:56 WARN  main [scenehandler.cpp:795] In file "/home/julia/PBRT/PMM_focal_guiding/mitsuba/../scenes/living-room/../_integrators/pmm_focal_guiding.xml" (near line 49): Unqueried attribute "dumpScene" in element "integrator"
2025-03-25 22:17:56 WARN  main [scenehandler.cpp:795] In file "/home/julia/PBRT/PMM_focal_guiding/mitsuba/../scenes/living-room/../_integrators/pmm_focal_guiding.xml" (near line 49): Unqueried attribute "normalBinning" in element "integrator"
2025-03-25 22:17:56 WARN  main [scenehandler.cpp:795] In file "/home/julia/PBRT/PMM_focal_guiding/mitsuba/../scenes/living-room/../_integrators/pmm_focal_guiding.xml" (near line 49): Unqueried attribute "samplingMode" in element "integrator"
2025-03-25 22:17:56 WARN  main [scenehandler.cpp:795] In file "/home/julia/PBRT/PMM_focal_guiding/mitsuba/../scenes/living-room/../_integrators/pmm_focal_guiding.xml" (near line 49): Unqueried attribute "unboundedSplatting" in element "integrator"
2025-03-25 22:17:56 INFO  main [PluginManager] Loading plugin "plugins/independent.so" ..
2025-03-25 22:17:56 INFO  main [PluginManager] Loading plugin "plugins/box.so" ..
2025-03-25 22:17:56 INFO  main [PluginManager] Loading plugin "plugins/hdrfilm.so" ..
2025-03-25 22:17:56 INFO  main [PluginManager] Loading plugin "plugins/perspective.so" ..
2025-03-25 22:17:56 INFO  main [PluginManager] Loading plugin "plugins/bitmap.so" ..
2025-03-25 22:17:56 INFO  main [BitmapTexture] Loading texture "radio-dial-idea.jpg"
2025-03-25 22:17:56 INFO  main [PluginManager] Loading plugin "plugins/lanczos.so" ..
2025-03-25 22:17:56 INFO  main [PluginManager] Loading plugin "plugins/diffuse.so" ..
2025-03-25 22:17:56 INFO  main [PluginManager] Loading plugin "plugins/twosided.so" ..
2025-03-25 22:17:56 INFO  main [BitmapTexture] Loading texture "wood4.jpg"
2025-03-25 22:17:56 INFO  main [MIPMap] Mapped MIP map cache file "/home/julia/PBRT/PMM_focal_guiding/mitsuba/../scenes/living-room/textures/wood4.mip" into memory (14.3 MiB).
2025-03-25 22:17:56 INFO  main [PluginManager] Loading plugin "plugins/roughplastic.so" ..
2025-03-25 22:17:56 INFO  main [BitmapTexture] Loading texture "cushion-purple-yellow-stripe.jpg"
2025-03-25 22:17:56 INFO  main [BitmapTexture] Loading texture "cushion-green-circles.jpg"
2025-03-25 22:17:56 INFO  main [BitmapTexture] Loading texture "cushion-stripe-purple.jpg"
2025-03-25 22:17:56 INFO  main [BitmapTexture] Loading texture "shade-stripes.jpg"
2025-03-25 22:17:56 INFO  main [PluginManager] Loading plugin "plugins/plastic.so" ..
2025-03-25 22:17:56 INFO  main [BitmapTexture] Loading texture "apple.jpg"
2025-03-25 22:17:56 INFO  main [BitmapTexture] Loading texture "book-spines.jpg"
2025-03-25 22:17:56 INFO  main [MIPMap] Mapped MIP map cache file "/home/julia/PBRT/PMM_focal_guiding/mitsuba/../scenes/living-room/textures/book-spines.mip" into memory (11.7 MiB).
2025-03-25 22:17:56 INFO  main [PluginManager] Loading plugin "plugins/roughdielectric.so" ..
2025-03-25 22:17:56 INFO  main [PluginManager] Loading plugin "plugins/dielectric.so" ..
2025-03-25 22:17:56 INFO  main [PluginManager] Loading plugin "plugins/roughconductor.so" ..
2025-03-25 22:17:56 INFO  main [spectrum.cpp:599] "Cu.eta.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:56 INFO  main [spectrum.cpp:599] "Cu.k.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:56 INFO  main [BitmapTexture] Loading texture "Shade-paper.jpg"
2025-03-25 22:17:56 INFO  main [PluginManager] Loading plugin "plugins/mask.so" ..
2025-03-25 22:17:56 INFO  main [BitmapTexture] Loading texture "carpet-text3b.jpg"
2025-03-25 22:17:57 INFO  main [BitmapTexture] Loading texture "picture11-vert.jpg"
2025-03-25 22:17:57 INFO  main [MIPMap] Mapped MIP map cache file "/home/julia/PBRT/PMM_focal_guiding/mitsuba/../scenes/living-room/textures/picture11-vert.mip" into memory (18.8 MiB).
2025-03-25 22:17:57 INFO  main [BitmapTexture] Loading texture "Frame.jpg"
2025-03-25 22:17:57 INFO  main [BitmapTexture] Loading texture "Frame.jpg"
2025-03-25 22:17:57 INFO  main [BitmapTexture] Loading texture "Frame.jpg"
2025-03-25 22:17:57 INFO  main [BitmapTexture] Loading texture "Frame.jpg"
2025-03-25 22:17:57 INFO  main [BitmapTexture] Loading texture "picure4-grey.jpg"
2025-03-25 22:17:57 INFO  main [MIPMap] Mapped MIP map cache file "/home/julia/PBRT/PMM_focal_guiding/mitsuba/../scenes/living-room/textures/picure4-grey.mip" into memory (15.8 MiB).
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.eta.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.k.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [PluginManager] Loading plugin "plugins/thindielectric.so" ..
2025-03-25 22:17:57 INFO  main [PluginManager] Loading plugin "plugins/conductor.so" ..
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.eta.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.k.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.eta.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.k.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.eta.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.k.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.eta.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.k.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
2025-03-25 22:17:57 INFO  main [BitmapTexture] Loading texture "radio-dial-idea.jpg"
2025-03-25 22:17:57 INFO  main [spectrum.cpp:599] "Cu.eta.spd": loaded a spectral power distribution with 55 entries (between 302.400421 and 885.601257 nm)
